,game_str,play_id,player_position,event_code,home_team,top_bottom_inning,pitcher,batter,player_name,field_x,field_y,pickoff,lead_distance,count_on_first,stolen_bases,steal_score,is_home,avg_rel_point,pitcher_hand,avg_stance,batter_hand,play_per_game_x,runs,away_score,home_score,run_diff,play_per_game_y,outs
0,y1_d034_AVV_YJD,14,1,6,YJD,bottom,AVV-2200,YJD-0345,NA,53.7936,73.4586,1,12.655255945864504,0.0,0.0,0.0,0,-1.162639677419355,0,1.966541545524101,1,14.0,0.0,0.0,0.0,0.0,14.0,0.0
1,y1_d034_AVV_YJD,48,1,6,YJD,bottom,AVV-2200,YJD-0025,YJD-0193,54.7011,73.2147,1,11.849302626475959,89.0,2.0,0.015576341136178545,0,-1.162639677419355,0,-1.5608614065180104,0,48.0,0.0,0.0,0.0,0.0,48.0,1.0
2,y1_d034_AVV_YJD,49,1,6,YJD,bottom,AVV-2200,YJD-0025,YJD-0193,55.2675,72.1182,1,10.665575751511131,89.0,2.0,0.015576341136178545,0,-1.162639677419355,0,-1.5608614065180104,0,49.0,0.0,0.0,0.0,0.0,49.0,0.0
3,y1_d034_AVV_YJD,51,1,6,YJD,bottom,AVV-2200,YJD-0025,YJD-0193,55.5294,72.0144,1,10.408382551623527,89.0,2.0,0.015576341136178545,0,-1.162639677419355,0,-1.5608614065180104,0,51.0,0.0,0.0,0.0,0.0,51.0,0.0
4,y1_d034_AVV_YJD,88,1,6,YJD,bottom,AVV-2200,YJD-0374,NA,55.5228,71.9949,1,10.398958917001986,0.0,0.0,0.0,0,-1.162639677419355,0,-1.9936329729729731,0,88.0,0.0,0.0,1.0,1.0,88.0,0.0
5,y1_d035_AVV_YJD,12,1,6,YJD,top,YJD-0191,AVV-1172,AVV-2492,57.1713,69.7629,1,7.656585658937997,26.0,0.0,0.0,1,1.1028162615606938,1,-2.8383634615384614,0,12.0,0.0,0.0,0.0,0.0,12.0,0.0
6,y1_d035_AVV_YJD,29,1,6,YJD,bottom,AVV-2054,YJD-0338,YJD-0345,55.7586,73.0167,1,11.000268358285053,285.0,5.0,0.028235752849721057,0,2.1098710485436896,1,0.26612873239436624,1,29.0,0.0,1.0,0.0,-1.0,29.0,0.0
7,y1_d035_AVV_YJD,32,1,6,YJD,bottom,AVV-2054,YJD-0166,YJD-0345,56.6358,73.2513,1,10.644883241545498,285.0,5.0,0.028235752849721057,0,2.1098710485436896,1,-2.163252173913044,0,32.0,0.0,1.0,0.0,-1.0,32.0,0.0
8,y1_d035_AVV_YJD,33,1,6,YJD,bottom,AVV-2054,YJD-0166,YJD-0345,56.139,74.2428,1,11.740250376339942,285.0,5.0,0.028235752849721057,0,2.1098710485436896,1,-2.163252173913044,0,33.0,0.0,1.0,0.0,-1.0,33.0,0.0
9,y1_d035_AVV_YJD,34,1,6,YJD,bottom,AVV-2054,YJD-0166,YJD-0345,54.7635,73.5015,1,12.018810591006257,285.0,5.0,0.028235752849721057,0,2.1098710485436896,1,-2.163252173913044,0,34.0,0.0,1.0,0.0,-1.0,34.0,0.0
10,y1_d035_AVV_YJD,35,1,6,YJD,bottom,AVV-2054,YJD-0166,YJD-0345,54.081,74.8326,1,13.470110317521398,285.0,5.0,0.028235752849721057,0,2.1098710485436896,1,-2.163252173913044,0,35.0,0.0,1.0,0.0,-1.0,35.0,0.0
11,y1_d035_AVV_YJD,37,1,6,YJD,bottom,AVV-2054,YJD-0166,YJD-0345,55.9995,69.9915,1,8.684445757061642,285.0,5.0,0.028235752849721057,0,2.1098710485436896,1,-2.163252173913044,0,37.0,0.0,1.0,0.0,-1.0,37.0,0.0
12,y1_d035_AVV_YJD,128,1,6,YJD,bottom,AVV-2054,YJD-0193,YJD-0327,57.7119,70.6266,1,7.913859403657389,158.0,1.0,0.0,0,2.1098710485436896,1,0.4631986547085202,1,128.0,0.0,1.0,0.0,-1.0,128.0,1.0
13,y1_d035_AVV_YJD,133,1,6,YJD,bottom,AVV-2054,YJD-0025,YJD-0327,58.5423,72.6567,1,9.111756809537658,158.0,1.0,0.0,0,2.1098710485436896,1,-1.5608614065180104,0,133.0,0.0,1.0,0.0,-1.0,133.0,0.0
14,y1_d035_AVV_YJD,147,1,6,YJD,top,YJD-0191,AVV-2492,NA,56.6904,74.3946,1,11.55760170055268,0.0,0.0,0.0,1,1.1028162615606938,1,-2.2914069767441863,0,147.0,0.0,1.0,0.0,-1.0,147.0,0.0
15,y1_d035_AVV_YJD,216,1,6,YJD,top,YJD-0380,AVV-1862,AVV-2492,57.186,74.1492,1,11.086073307175175,26.0,0.0,0.0,1,-1.8176954543881334,0,1.1064312500000002,1,216.0,0.0,2.0,0.0,-2.0,216.0,1.0
16,y1_d035_AVV_YJD,280,1,6,YJD,top,YJD-0103,AVV-2070,AVV-1002,55.2504,74.7618,1,12.683221716458828,4.0,0.0,0.0,1,-0.4549255369127518,0,-2.9035935483870965,0,280.0,0.0,2.0,0.0,-2.0,280.0,0.0
17,y1_d036_HMN_RZQ,143,1,6,RZQ,bottom,HMN-1821,RZQ-0014,RZQ-0214,58.3014,69.834,1,6.928239050064507,96.0,1.0,0.0,0,2.4197485199999997,1,1.6103991477272728,1,143.0,0.0,0.0,0.0,0.0,143.0,0.0
18,y1_d036_HMN_RZQ,146,1,6,RZQ,bottom,HMN-1821,RZQ-0014,RZQ-0214,57.6018,68.6652,1,6.604453149647022,96.0,1.0,0.0,0,2.4197485199999997,1,1.6103991477272728,1,146.0,0.0,0.0,0.0,0.0,146.0,0.0
19,y1_d036_HMN_RZQ,147,1,6,RZQ,bottom,HMN-1821,RZQ-0014,RZQ-0214,57.2922,67.2585,1,6.052993981238105,96.0,1.0,0.0,0,2.4197485199999997,1,1.6103991477272728,1,147.0,0.0,0.0,0.0,0.0,147.0,0.0
20,y1_d036_HMN_RZQ,234,1,6,RZQ,top,RZQ-0137,HMN-1140,HMN-1397,56.2638,69.5739,1,8.215244299541343,19.0,0.0,0.0,1,-0.6174015370140845,0,2.596411764705882,1,234.0,0.0,0.0,0.0,0.0,234.0,0.0
21,y1_d036_HMN_RZQ,268,1,6,RZQ,top,RZQ-0137,HMN-2351,NA,53.499,70.347,1,10.905461735368176,0.0,0.0,0.0,1,-0.6174015370140845,0,2.310494117647059,1,268.0,0.0,0.0,0.0,0.0,268.0,0.0
22,y1_d037_HMN_RZQ,125,1,6,RZQ,bottom,HMN-1770,RZQ-0274,RZQ-0388,55.791,69.7005,1,8.66468059243464,27.0,0.0,0.0,0,2.497255387096774,1,-1.6825434210526315,0,125.0,0.0,0.0,1.0,1.0,125.0,0.0
23,y1_d037_HMN_RZQ,142,1,6,RZQ,top,RZQ-0351,HMN-1397,NA,57.9471,69.3033,1,6.780048897734055,0.0,0.0,0.0,1,1.9121875112252966,1,-2.0665051948051945,0,142.0,0.0,0.0,1.0,1.0,142.0,0.0
24,y1_d037_HMN_RZQ,228,1,6,RZQ,top,RZQ-0351,HMN-1397,HMN-1212,49.1964,78.1677,1,19.235934937170917,11.0,0.0,0.0,1,1.9121875112252966,1,-2.0665051948051945,0,228.0,0.0,0.0,3.0,3.0,228.0,0.0
25,y1_d038_HMN_RZQ,79,1,6,RZQ,top,RZQ-0246,HMN-1397,HMN-1212,57.1353,68.7831,1,7.040691629773722,11.0,0.0,0.0,1,0.9308021878172589,1,-2.0665051948051945,0,79.0,0.0,0.0,3.0,3.0,79.0,1.0
